stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
6123,108039,Mn. Camil Rosell - Nord,41.45538471,2.2096894,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108039
6126,108042,Beethoven - Nàpols,41.45251967,2.21667601,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108042
6128,108044,Av. de Caritg - Pl. Caritg,41.44738564,2.22546032,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108044
6131,108047,Av. de Catalunya - Pintor Pau Picasso,41.44923001,2.2302006,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108047
6133,108049,Felip II - Av. Puigfred,41.45333689,2.23526706,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108049
6134,108050,Felip II - Chopin,41.45163238,2.23647409,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108050
6135,108051,Buenos Aires - Carles I,41.45120207,2.23567677,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108051
6136,108052,Ptge. Milà i Fontanals - Antoni Botei,41.44995231,2.2359483,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108052
6137,108053,Montserrat - Ptge. Fortuny,41.44889037,2.23625383,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108053
6139,108055,Maria Auxliadora - Baldomer Solà,41.44479989,2.23712903,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108055
6140,108056,Indústria - Unió,41.44137331,2.24291111,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108056
6142,108058,Montserrat - Abat Escarré,41.44898486,2.23630702,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108058
6143,108059,Ptge. Milà i Fontanals - Montserrat,41.45035083,2.23644936,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108059
6144,109032,Àngel Guimerà - Cuba,41.45182612,2.23658369,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109032
6145,108061,Àngel Guimerà - Pl. Frederica Montseny,41.45348014,2.23601355,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108061
6146,108062,Av. de Catalunya - Rbla. de Sant Joan,41.45279235,2.2302636,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108062
6147,108063,Av. de Catalunya - Camí Sistrells,41.4508367,2.23104647,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108063
6148,108064,Av. de Catalunya - Pl. Riu Muga,41.44915505,2.2300321,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108064
6150,2680,Llull - Rbla. Prim,41.41325501,2.21859645,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=002680
6151,108067,Av. de Caritg - Isaac Albéniz,41.44704444,2.22522487,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108067
6152,108068,Benviure - Ctra. a Sant Climent,41.34608658,2.02500375,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108068
6153,108069,Av. 328 - Pg. Bellavista,41.27513943,1.95994462,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108069
6154,108070,Pg. Panoràmic - Pg. Collet,41.27610091,1.95002133,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108070
6166,108723,Rbla. Fondo Metro Fondo - Mozart,41.45195894,2.21957567,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108723
6168,108722,Listz - Beethoven,41.44993424,2.22130512,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108722
6171,108087,Sant Andreu - Mas Mari,41.44538411,2.21413544,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108087
6172,108088,Av. Sta. Rosa - Sardana,41.44378971,2.21241615,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108088
6178,109054,Florència - Roma,41.45559008,2.21712306,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109054
6187,101025,Bosc d'en Vilaró - Perpinyà,41.47699973,2.21761546,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=101025
