service_id,date,exception_type
1.2.H171,20190906,1
1.2.H176,20190907,1
1.2.H186,20190908,1
1.2.H179,20190909,1
1.2.H179,20190910,1
1.2.H186,20190911,1
1.2.H179,20190912,1
1.2.H171,20190913,1
1.2.H176,20190914,1
1.2.H186,20190915,1
1.2.H179,20190916,1
1.2.H179,20190917,1
1.2.H179,20190918,1
1.2.H179,20190919,1
1.2.H171,20190920,1
1.2.H176,20190921,1
1.2.H186,20190922,1
1.2.H179,20190923,1
1.2.H186,20190924,1
1.2.H179,20190925,1
1.2.H179,20190926,1
1.2.H171,20190927,1
1.2.H176,20190928,1
1.2.H186,20190929,1
1.2.H179,20190930,1
1.2.H179,20191001,1
1.2.H179,20191002,1
1.2.H179,20191003,1
1.2.H171,20191004,1
1.2.H176,20191005,1
1.2.H186,20191006,1
1.2.H179,20191007,1
1.2.H179,20191008,1
1.2.H179,20191009,1
1.2.H179,20191010,1
1.2.H171,20191011,1
1.2.H186,20191012,1
1.2.H186,20191013,1
1.2.H179,20191014,1
1.2.H179,20191015,1
1.2.H179,20191016,1
1.2.H179,20191017,1
1.2.H171,20191018,1
1.2.H176,20191019,1
1.2.H186,20191020,1
1.2.H179,20191021,1
1.2.H179,20191022,1
1.2.H179,20191023,1
1.2.H179,20191024,1
1.2.H171,20191025,1
1.2.H176,20191026,1
1.2.H186,20191027,1
1.2.H179,20191028,1
1.2.H179,20191029,1
1.2.H179,20191030,1
1.2.H179,20191031,1
1.2.H186,20191101,1
1.2.H176,20191102,1
1.2.H186,20191103,1
1.2.H179,20191104,1
1.2.H179,20191105,1
1.2.H179,20191106,1
1.2.H179,20191107,1
1.2.H171,20191108,1
1.2.H176,20191109,1
1.2.H186,20191110,1
1.2.H179,20191111,1
1.2.H179,20191112,1
1.2.H179,20191113,1
1.2.H179,20191114,1
1.2.H171,20191115,1
1.2.H176,20191116,1
1.2.H186,20191117,1
1.2.H179,20191118,1
1.2.H179,20191119,1
1.2.H179,20191120,1
1.2.H179,20191121,1
1.2.H171,20191122,1
1.2.H176,20191123,1
1.2.H186,20191124,1
1.2.H179,20191125,1
1.2.H179,20191126,1
1.2.H179,20191127,1
1.2.H179,20191128,1
1.2.H171,20191129,1
1.2.H176,20191130,1
1.2.H186,20191201,1
1.2.H179,20191202,1
1.2.H179,20191203,1
1.2.H179,20191204,1
1.2.H179,20191205,1
1.2.H186,20191206,1
1.2.H176,20191207,1
1.2.H186,20191208,1
1.2.H179,20191209,1
1.2.H179,20191210,1
1.2.H179,20191211,1
1.2.H179,20191212,1
1.2.H171,20191213,1
1.2.H176,20191214,1
1.2.H186,20191215,1
1.2.H179,20191216,1
1.2.H179,20191217,1
1.2.H179,20191218,1
1.2.H179,20191219,1
1.2.H171,20191220,1
1.2.H176,20191221,1
1.2.H186,20191222,1
1.2.H179,20191223,1
1.2.H179,20191224,1
1.2.H186,20191225,1
1.2.H186,20191226,1
1.2.H171,20191227,1
1.2.H176,20191228,1
1.2.H186,20191229,1
1.2.H179,20191230,1
1.2.H179,20191231,1
1.3.H173,20190704,1
1.3.H182,20190705,1
1.3.H184,20190706,1
1.3.H174,20190707,1
1.3.H173,20190708,1
1.3.H173,20190709,1
1.3.H173,20190710,1
1.3.H173,20190711,1
1.3.H182,20190712,1
1.3.H184,20190713,1
1.3.H174,20190714,1
1.3.H173,20190715,1
1.3.H173,20190716,1
1.3.H173,20190717,1
1.3.H173,20190718,1
1.3.H182,20190719,1
1.3.H184,20190720,1
1.3.H174,20190721,1
1.3.H173,20190722,1
1.3.H173,20190723,1
1.3.H173,20190724,1
1.3.H173,20190725,1
1.3.H182,20190726,1
1.3.H184,20190727,1
1.3.H174,20190728,1
1.3.H173,20190729,1
1.3.H173,20190730,1
1.3.H173,20190731,1
1.3.H173,20190801,1
1.3.H182,20190802,1
1.3.H184,20190803,1
1.3.H174,20190804,1
1.3.H173,20190805,1
1.3.H173,20190806,1
1.3.H173,20190807,1
1.3.H173,20190808,1
1.3.H182,20190809,1
1.3.H184,20190810,1
1.3.H174,20190811,1
1.3.H173,20190812,1
1.3.H173,20190813,1
1.3.H173,20190814,1
1.3.H174,20190815,1
1.3.H182,20190816,1
1.3.H184,20190817,1
1.3.H174,20190818,1
1.3.H173,20190819,1
1.3.H173,20190820,1
1.3.H173,20190821,1
1.3.H173,20190822,1
1.3.H182,20190823,1
1.3.H184,20190824,1
1.3.H174,20190825,1
1.3.H173,20190826,1
1.3.H173,20190827,1
1.3.H173,20190828,1
1.3.H173,20190829,1
1.3.H182,20190830,1
1.3.H184,20190831,1
1.3.H174,20190901,1
1.3.H173,20190902,1
1.3.H173,20190903,1
1.3.H173,20190904,1
1.3.H173,20190905,1
1.3.H182,20190906,1
1.3.H184,20190907,1
1.3.H174,20190908,1
1.3.H173,20190909,1
1.3.H173,20190910,1
1.3.H174,20190911,1
1.3.H173,20190912,1
1.3.H182,20190913,1
1.3.H184,20190914,1
1.3.H174,20190915,1
1.3.H173,20190916,1
1.3.H173,20190917,1
1.3.H173,20190918,1
1.3.H173,20190919,1
1.3.H182,20190920,1
1.3.H184,20190921,1
1.3.H174,20190922,1
1.3.H173,20190923,1
1.3.H174,20190924,1
1.3.H173,20190925,1
1.3.H173,20190926,1
1.3.H182,20190927,1
1.3.H184,20190928,1
1.3.H174,20190929,1
1.3.H173,20190930,1
1.3.H173,20191001,1
1.3.H173,20191002,1
1.3.H173,20191003,1
1.3.H182,20191004,1
1.3.H184,20191005,1
1.3.H174,20191006,1
1.3.H173,20191007,1
1.3.H173,20191008,1
1.3.H173,20191009,1
1.3.H173,20191010,1
1.3.H182,20191011,1
1.3.H174,20191012,1
1.3.H174,20191013,1
1.3.H173,20191014,1
1.3.H173,20191015,1
1.3.H173,20191016,1
1.3.H173,20191017,1
1.3.H182,20191018,1
1.3.H184,20191019,1
1.3.H174,20191020,1
1.3.H173,20191021,1
1.3.H173,20191022,1
1.3.H173,20191023,1
1.3.H173,20191024,1
1.3.H182,20191025,1
1.3.H184,20191026,1
1.3.H174,20191027,1
1.3.H173,20191028,1
1.3.H173,20191029,1
1.3.H173,20191030,1
1.3.H173,20191031,1
1.3.H174,20191101,1
1.3.H184,20191102,1
1.3.H174,20191103,1
1.3.H173,20191104,1
1.3.H173,20191105,1
1.3.H173,20191106,1
1.3.H173,20191107,1
1.3.H182,20191108,1
1.3.H184,20191109,1
1.3.H174,20191110,1
1.3.H173,20191111,1
1.3.H173,20191112,1
1.3.H173,20191113,1
1.3.H173,20191114,1
1.3.H182,20191115,1
1.3.H184,20191116,1
1.3.H174,20191117,1
1.3.H173,20191118,1
1.3.H173,20191119,1
1.3.H173,20191120,1
1.3.H173,20191121,1
1.3.H182,20191122,1
1.3.H184,20191123,1
1.3.H174,20191124,1
1.3.H173,20191125,1
1.3.H173,20191126,1
1.3.H173,20191127,1
1.3.H173,20191128,1
1.3.H182,20191129,1
1.3.H184,20191130,1
1.3.H174,20191201,1
1.3.H173,20191202,1
1.3.H173,20191203,1
1.3.H173,20191204,1
1.3.H173,20191205,1
1.3.H174,20191206,1
1.3.H184,20191207,1
1.3.H174,20191208,1
1.3.H173,20191209,1
1.3.H173,20191210,1
1.3.H173,20191211,1
1.3.H173,20191212,1
1.3.H182,20191213,1
1.3.H184,20191214,1
1.3.H174,20191215,1
1.3.H173,20191216,1
1.3.H173,20191217,1
1.3.H173,20191218,1
1.3.H173,20191219,1
1.3.H182,20191220,1
1.3.H184,20191221,1
1.3.H174,20191222,1
1.3.H173,20191223,1
1.3.H173,20191224,1
1.3.H174,20191225,1
1.3.H174,20191226,1
1.3.H182,20191227,1
1.3.H184,20191228,1
1.3.H174,20191229,1
1.3.H173,20191230,1
1.3.H173,20191231,1
1.4.H168,20190704,1
1.4.H180,20190705,1
1.4.H188,20190706,1
1.4.H170,20190707,1
1.4.H168,20190708,1
1.4.H168,20190709,1
1.4.H168,20190710,1
1.4.H168,20190711,1
1.4.H180,20190712,1
1.4.H188,20190713,1
1.4.H170,20190714,1
1.4.H168,20190715,1
1.4.H168,20190716,1
1.4.H168,20190717,1
1.4.H168,20190718,1
1.4.H180,20190719,1
1.4.H188,20190720,1
1.4.H170,20190721,1
1.4.H168,20190722,1
1.4.H168,20190723,1
1.4.H168,20190724,1
1.4.H168,20190725,1
1.4.H180,20190726,1
1.4.H188,20190727,1
1.4.H170,20190728,1
1.4.H168,20190729,1
1.4.H168,20190730,1
1.4.H168,20190731,1
1.4.H168,20190801,1
1.4.H180,20190802,1
1.4.H188,20190803,1
1.4.H170,20190804,1
1.4.H168,20190805,1
1.4.H168,20190806,1
1.4.H168,20190807,1
1.4.H168,20190808,1
1.4.H180,20190809,1
1.4.H188,20190810,1
1.4.H170,20190811,1
1.4.H168,20190812,1
1.4.H168,20190813,1
1.4.H168,20190814,1
1.4.H170,20190815,1
1.4.H180,20190816,1
1.4.H188,20190817,1
1.4.H170,20190818,1
1.4.H168,20190819,1
1.4.H168,20190820,1
1.4.H168,20190821,1
1.4.H168,20190822,1
1.4.H180,20190823,1
1.4.H188,20190824,1
1.4.H170,20190825,1
1.4.H168,20190826,1
1.4.H168,20190827,1
1.4.H168,20190828,1
1.4.H168,20190829,1
1.4.H180,20190830,1
1.4.H188,20190831,1
1.4.H170,20190901,1
1.4.H168,20190902,1
1.4.H168,20190903,1
1.4.H168,20190904,1
1.4.H168,20190905,1
1.4.H180,20190906,1
1.4.H188,20190907,1
1.4.H170,20190908,1
1.4.H168,20190909,1
1.4.H168,20190910,1
1.4.H170,20190911,1
1.4.H168,20190912,1
1.4.H180,20190913,1
1.4.H188,20190914,1
1.4.H170,20190915,1
1.4.H168,20190916,1
1.4.H168,20190917,1
1.4.H168,20190918,1
1.4.H168,20190919,1
1.4.H180,20190920,1
1.4.H188,20190921,1
1.4.H170,20190922,1
1.4.H168,20190923,1
1.4.H170,20190924,1
1.4.H168,20190925,1
1.4.H168,20190926,1
1.4.H180,20190927,1
1.4.H188,20190928,1
1.4.H170,20190929,1
1.4.H168,20190930,1
1.4.H168,20191001,1
1.4.H168,20191002,1
1.4.H168,20191003,1
1.4.H180,20191004,1
1.4.H188,20191005,1
1.4.H170,20191006,1
1.4.H168,20191007,1
1.4.H168,20191008,1
1.4.H168,20191009,1
1.4.H168,20191010,1
1.4.H180,20191011,1
1.4.H170,20191012,1
1.4.H170,20191013,1
1.4.H168,20191014,1
1.4.H168,20191015,1
1.4.H168,20191016,1
1.4.H168,20191017,1
1.4.H180,20191018,1
1.4.H188,20191019,1
1.4.H170,20191020,1
1.4.H168,20191021,1
1.4.H168,20191022,1
1.4.H168,20191023,1
1.4.H168,20191024,1
1.4.H180,20191025,1
1.4.H188,20191026,1
1.4.H170,20191027,1
1.4.H168,20191028,1
1.4.H168,20191029,1
1.4.H168,20191030,1
1.4.H168,20191031,1
1.4.H170,20191101,1
1.4.H188,20191102,1
1.4.H170,20191103,1
1.4.H168,20191104,1
1.4.H168,20191105,1
1.4.H168,20191106,1
1.4.H168,20191107,1
1.4.H180,20191108,1
1.4.H188,20191109,1
1.4.H170,20191110,1
1.4.H168,20191111,1
1.4.H168,20191112,1
1.4.H168,20191113,1
1.4.H168,20191114,1
1.4.H180,20191115,1
1.4.H188,20191116,1
1.4.H170,20191117,1
1.4.H168,20191118,1
1.4.H168,20191119,1
1.4.H168,20191120,1
1.4.H168,20191121,1
1.4.H180,20191122,1
1.4.H188,20191123,1
1.4.H170,20191124,1
1.4.H168,20191125,1
1.4.H168,20191126,1
1.4.H168,20191127,1
1.4.H168,20191128,1
1.4.H180,20191129,1
1.4.H188,20191130,1
1.4.H170,20191201,1
1.4.H168,20191202,1
1.4.H168,20191203,1
1.4.H168,20191204,1
1.4.H168,20191205,1
1.4.H170,20191206,1
1.4.H188,20191207,1
1.4.H170,20191208,1
1.4.H168,20191209,1
1.4.H168,20191210,1
1.4.H168,20191211,1
1.4.H168,20191212,1
1.4.H180,20191213,1
1.4.H188,20191214,1
1.4.H170,20191215,1
1.4.H168,20191216,1
1.4.H168,20191217,1
1.4.H168,20191218,1
1.4.H168,20191219,1
1.4.H180,20191220,1
1.4.H188,20191221,1
1.4.H170,20191222,1
1.4.H168,20191223,1
1.4.H168,20191224,1
1.4.H170,20191225,1
1.4.H170,20191226,1
1.4.H180,20191227,1
1.4.H188,20191228,1
1.4.H170,20191229,1
1.4.H168,20191230,1
1.4.H168,20191231,1
1.5.H166,20190704,1
1.5.H169,20190705,1
1.5.H185,20190706,1
1.5.H181,20190707,1
1.5.H166,20190708,1
1.5.H166,20190709,1
1.5.H166,20190710,1
1.5.H166,20190711,1
1.5.H169,20190712,1
1.5.H185,20190713,1
1.5.H181,20190714,1
1.5.H166,20190715,1
1.5.H166,20190716,1
1.5.H166,20190717,1
1.5.H166,20190718,1
1.5.H169,20190719,1
1.5.H185,20190720,1
1.5.H181,20190721,1
1.5.H166,20190722,1
1.5.H166,20190723,1
1.5.H166,20190724,1
1.5.H166,20190725,1
1.5.H169,20190726,1
1.5.H185,20190727,1
1.5.H181,20190728,1
1.5.H166,20190729,1
1.5.H166,20190730,1
1.5.H166,20190731,1
1.5.H166,20190801,1
1.5.H169,20190802,1
1.5.H185,20190803,1
1.5.H181,20190804,1
1.5.H166,20190805,1
1.5.H166,20190806,1
1.5.H166,20190807,1
1.5.H166,20190808,1
1.5.H169,20190809,1
1.5.H185,20190810,1
1.5.H181,20190811,1
1.5.H166,20190812,1
1.5.H166,20190813,1
1.5.H166,20190814,1
1.5.H181,20190815,1
1.5.H169,20190816,1
1.5.H185,20190817,1
1.5.H181,20190818,1
1.5.H166,20190819,1
1.5.H166,20190820,1
1.5.H166,20190821,1
1.5.H166,20190822,1
1.5.H169,20190823,1
1.5.H185,20190824,1
1.5.H181,20190825,1
1.5.H166,20190826,1
1.5.H166,20190827,1
1.5.H166,20190828,1
1.5.H166,20190829,1
1.5.H169,20190830,1
1.5.H185,20190831,1
1.5.H181,20190901,1
1.5.H166,20190902,1
1.5.H166,20190903,1
1.5.H166,20190904,1
1.5.H166,20190905,1
1.5.H169,20190906,1
1.5.H185,20190907,1
1.5.H181,20190908,1
1.5.H166,20190909,1
1.5.H166,20190910,1
1.5.H181,20190911,1
1.5.H166,20190912,1
1.5.H169,20190913,1
1.5.H185,20190914,1
1.5.H181,20190915,1
1.5.H166,20190916,1
1.5.H166,20190917,1
1.5.H166,20190918,1
1.5.H166,20190919,1
1.5.H169,20190920,1
1.5.H185,20190921,1
1.5.H181,20190922,1
1.5.H166,20190923,1
1.5.H181,20190924,1
1.5.H166,20190925,1
1.5.H166,20190926,1
1.5.H169,20190927,1
1.5.H185,20190928,1
